index,tmc_code,start_time,stop_time,length,closure_time,event_id
397,116N04718,2019-03-07 16:00:00,2019-03-07 16:59:59,0.464014,0 days 00:59:59,50
351,116+04719,2019-03-07 16:00:00,2019-03-07 17:59:59,3.384763,0 days 01:59:59,50
371,116+04720,2019-03-07 16:00:00,2019-03-07 17:59:59,10.018198,0 days 01:59:59,50
321,116P04718,2019-03-07 17:00:00,2019-03-07 17:59:59,0.448865,0 days 00:59:59,50
330,116P04723,2019-03-07 17:00:00,2019-03-07 17:59:59,0.453781,0 days 00:59:59,50
333,116P04722,2019-03-07 17:00:00,2019-03-07 17:59:59,0.499037,0 days 00:59:59,50
335,116P04721,2019-03-07 17:00:00,2019-03-07 18:59:59,0.436887,0 days 01:59:59,50
379,116+04723,2019-03-07 17:00:00,2019-03-07 17:59:59,2.800816,0 days 00:59:59,50
374,116+04721,2019-03-07 17:00:00,2019-03-07 18:59:59,4.583104,0 days 01:59:59,50
324,116P04720,2019-03-07 17:00:00,2019-03-07 18:59:59,0.532736,0 days 01:59:59,50
376,116+04722,2019-03-07 17:00:00,2019-03-07 17:59:59,1.937911,0 days 00:59:59,50
326,116P04724,2019-03-07 18:00:00,2019-03-07 18:59:59,0.364863,0 days 00:59:59,50
